Symbol,Company_Name,Sector,Industry,Market_Cap,Exchange
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,76786720768,NYQ
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,147134349312,NYQ
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,23931111424,NYQ
DDOG,"Datadog, Inc.",Technology,Software - Application,51747692544,NMS
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,10971512832,NYQ
DAY,Dayforce Inc,Technology,Software - Application,9592859648,NYQ
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,17461596160,NYQ
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,140120473600,NYQ
DELL,Dell Technologies Inc.,Technology,Computer Hardware,88754847744,NYQ
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,35820724224,NYQ
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,21150771200,NYQ
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,34893602816,NMS
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,42250416128,NMS
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,61685133312,NYQ
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,23670837248,NYQ
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,23876911104,NMS
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,50101469184,NYQ
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,16483209216,NMS
DASH,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,105902096384,NMS
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,25575491584,NYQ
DOW,Dow Inc.,Basic Materials,Chemicals,18082611200,NYQ
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,43323383808,NYQ
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,28933953536,NYQ
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,93216432128,NYQ
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,31709669376,NYQ
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,9041672192,NYQ
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,153456132096,NYQ
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,37526528000,NMS
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,77044654080,NYQ
EIX,Edison International,Utilities,Utilities - Regulated Electric,20373254144,NYQ
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,46927998976,NYQ
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,38112935936,NMS
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,65098960896,NYQ
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,84166868992,NYQ
ENPH,"Enphase Energy, Inc.",Technology,Solar,4629893120,NGM
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,39348895744,NYQ
